city,state,country,product_type,event_id,recalling_firm,address_1,product_description,reason_for_recall
Redlands,CA,United States,Food,89661,ALLI & ROSE LLC,401 Alabama St Ste 300,"Snak Yard Dried Plums Saladitos; 12.7 oz. net wt (360g) Item number 1546905 UPC: 8 10019 60082 1  Made in China; Packed in Thailand  Distributed by Alli & Rose LLC, 1422 E, ?M?ain St. PMB #210 Lincolnton NC 28092",Firm is recalling Dried Plums due to potential high lead content.
Roseburg,OR,United States,Food,89271,Local Fixe LLC,2141 Ne Airport Rd Ste 2,"Fresh Flour Tortillas are packaged in a clear Ziploc style plastic bag.  The weight per package is 1.323 lbs/600 grams.  The label is read in parts:  ""***Fresh Flour Tortillas ***Flour, water, organic palm shortening, salt, baking powder*** ww.localfixe.com***"".",Flour is declared but Wheat is not declared on label.
Abbott Park,IL,United States,Food,89629,Abbott Laboratories,100 Abbott Park Rd Bldg Ap8b,"Abbott Similac Advance Infant Formula with Iron 12.4oz. can, 23.2oz. plastic jar, 20.6oz. plastic jar. 6 units per case.      Abbott Similac Pro-Advance 34oz. plastic jar. 6 jars per case.      Item numbers:  53359  68084  5595776  6748701    Retail UPCs:   070074533605  070074680859  070074559582  070074122373",Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,Huge Nutrition Enhance Capsules 240ct Bottle UPC CODE 7 28614 77810 7,During an FDA investigation the firm was notified that the product contains undeclared milk.
Newburyport,MA,United States,Food,89307,Dianne's Fine Desserts,4 Graf Rd,"Sienna Chocolate Decadent Brownie, Net wt. 104 oz. (6-lb. 8 oz.) 2.95 kg., UPC Codes: 8495241115;   Product packed in trays covered in clear plastic, trays packed in cardboard case, 4 trays to a case.  1.4 - Unit Size:  6.75 lb tray   1.5 - Container Description:  12  by 16 inch tray;  1.6 - Total Package Size:  4 trays per case;  1.7 - Storage Instructions: Keep Frozen",Product contains undeclared pecan
Milton Freewater,OR,United States,Food,89445,Walla Walla Cheese Company LLC,606 N Main St,Walla Walla Cheese Company Mad Curds. Keep Refrigerated. Product is packaged in vacuum sealed zip lock bags - net wt. 5 lbs. and 10 oz.,Under pasteurization. Cheese product was made from one batch of milk that was under pasteurized.
Monterey,CA,United States,Food,89284,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Dole 10.6oz Chopped Greek  Product UPC 071430000885,Potential Listeria monocytogenes
Abbott Park,IL,United States,Food,89629,Abbott Laboratories,100 Abbott Park Rd Bldg Ap8b,"Abbott Alimentum, Abbott Similac Alimentum, Abbott Similac Alimentum HMO, Abbott  Alimentum Similac, Abbott Similac Gold Alimentum HMO 400g can.  6 cans per case.    Item numbers:  674845  6748406  6748408  6748412  6748425  6748426  6748430  6748453  6748484    Retail UPCs:   0070074122250  8699548994869  070074122311  0070074124131  070074122359  070074122274  070074123349  070074123325",Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced
Reston,VA,United States,Food,89210,Maryland & Virginia Milk Producers,1985 Issac Newton Square West,"butter almond HOWLING COW THE ICE CREAM OF NC STATE UNIVERSITY One Pint (473 ml) Ingredients: Milk, Cream, Sugar, Almonds***Stabilizer***Carmel Color and Natural Flavor. Contains milk, almonds Proudly distributed by Hunter Farms High Point, NC 27262 UPC 0 74336 65079 6",The firm was notified by a customer that the Butter Almond containers contains Cookie Dough Ice Cream. The Cookie Dough Ice Cream contains soy and wheat which are not listed on the label for the Butter Almond Ice Cream.
Clare,MI,United States,Food,89424,Natural Way Cheese,6060 E Beaverton Rd,"Natural Way Cheese Horseradish Cheese Curds, retail 12oz plastic bag UPC 8 10056 75106 7, 12 retail units per wholesale case","The milk used in the cheese curd had been stored in a holding tank in excess of 72 hours, therefore exceeding the required 72 hour tank cleaning interval."
Clare,MI,United States,Food,89424,Natural Way Cheese,6060 E Beaverton Rd,"Natural Way Cheese Marble Cheese Curds, retail 12oz plastic bag UPC 8 10056 75022 0, 12 retail units per wholesale case, and sold in 10lbs wholesale plastic bag as well","The milk used in the cheese curd had been stored in a holding tank in excess of 72 hours, therefore exceeding the required 72 hour tank cleaning interval."
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,Hi-T Level Up	Capsules 120ct Bottle UPC CODE,During an FDA investigation the firm was notified that the product contains undeclared milk.
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Little Salad Bar 10.65 oz. Chopped Caesar Kit  UPC: 4099100263923  SKU: 3411,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Lakewood,WA,United States,Food,89421,Han Yang Corp.,3819 94th St Sw,"Korean Sushi, net wt. 12 oz. UPC 0 72148 48043 3.    The label is read in parts: ""***KOREAN SUSHI ***Ingredients: Rice, Seaweed, Water, Salt, Eggs, Sesame Oil, Spinach, Carrot, Yellow Radish, and Sesame Seed. *** Han Yang Oriental Food Mfg. 3819 94th St. SW, Tacoma, WA 98499 (253) 588-7303***"".",Undeclared Yellow #5.
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Asian Avocado"" (salad product) packed in 9.7oz. packages",potential to be contaminated with Listeria monocytogenes
San Diego,CA,United States,Food,89531,El Chavito,8690 Kerns St,"El Chavito¿ Saladitos Dried Salted Plums, net wt. 1.7 oz bag, Individual UPC 859470006049, Master Case UPC 859470006629.  El Chavito¿ Saladitos Dried Salted Plums, net wt. 1.7 oz bag, Individual UPC 850013297221, Master Case UPC 850013297726.",Potential to be contaminated with lead.
Monterey,CA,United States,Food,89284,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Kroger 5oz Organic Power Greens Clamshell  Product UPC 111110917331,Potential Listeria monocytogenes
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,TM Nutrition Restoration Pineapple 19oz Jar UPC CODE 0 746477 745166,During an FDA investigation the firm was notified that the product contains undeclared milk.
Vista,CA,United States,Food,89741,"RMJV, LP dba Fresh Creative Foods",3285 Corporate Vw,"Fresh Creative Foods;  BASIL PESTO BOWTIE PASTA SALAD DIRECT KIT 2/5.15625 LB UPC: 10013454380922; Item # 404736 Perishable/ Keep Refrigerated Kit components: 2/3 lb. bags of Bowtie Pasta, 2/24 oz. bags of Sweet Basil Dressing, 2/8 oz. bags of diced sundried tomato, 2/2.5 bags of shredded parmesan Cheese,  BASIL PESTO BOWTIE PASTA SALAD KIT V 2/5.28125 LB UPC: 10013454380533 Item # 404637 Perishable/Keep refrigerated Kit Components: 2/3 lb. bags of Bowtie Pasta, 2/24 oz. bags of Sweet Basil Dressing, 2/8 oz. bags of diced sundried tomato, 2/2.5 bags of shredded parmesan Cheese, 1/4 oz. bag of product kit (each bag contains 2/20 kits)  Distributed by: Fresh Creative Foods, Vista, CA",During manufacturing pieces of hard clear plastic was found. Upon investigation the source was identified as ice purchased from supplier.
Monterey,CA,United States,Food,89284,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Dole 13oz Southwest Kit  Product UPC 071430017012  Little Salad Bar 12oz Chopped Southwest Kit  Product UPC 4099100087031  Marketside 13.4oz Chopped Southwest Kit  Product UPC 681131305129,Potential Listeria monocytogenes
Leavenworth,WA,United States,Food,89251,"Bosket Bread Company, LLC",10171 Chumstick Hwy,"Jalape¿o Cheese Bread, Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.","Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements."
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Sweet Lettuce"" (salad product) packed in 5oz. packages",potential to be contaminated with Listeria monocytogenes
Chicago,IL,United States,Food,89679,"Chicago Sweet Connections, Inc.",5569 W. Northwest Highway,Chicago Sweet Connections: Paczkis - Blueberry Flavor packaged in a clear plastic clamshell  4 pack,"Undeclared Allergens - Egg, Milk, and Wheat"
Leavenworth,WA,United States,Food,89251,"Bosket Bread Company, LLC",10171 Chumstick Hwy,"Cinnamon Rolls, Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.","Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements."
Monterey,CA,United States,Food,89284,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Kroger 8oz Shredded Romaine  Product UPC 011110221483,Potential Listeria monocytogenes
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,Healthy Habits GH3 Maxum Capsules 90ct Bottle UPC CODE,During an FDA investigation the firm was notified that the product contains undeclared shellfish.
Vista,CA,United States,Food,89741,"RMJV, LP dba Fresh Creative Foods",3285 Corporate Vw,"Freshness Guaranteed BROCCOLI CHEDDAR PASTA SALAD WM 6/14 OZ (397 g)  UPC: 0 78742 37256 3  Distributed by Walmart Inc., Bentonville, AR 72716",During manufacturing pieces of hard clear plastic was found. Upon investigation the source was identified as ice purchased from supplier.
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Marketside 16 oz Shredded Lettuce  UPC: 6-81131-53209-9  SKU: 3118,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,President's Choice 12oz Garden Salad / Le Choix du President Salade Jardiniere  UPC:0-60383-22268-0  SKU: 3234,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Tysons Corner,VA,United States,Food,89494,"Naomi Whittel Brands, LLC",8609 Westwood Center Dr Ste 110,Simply Goodfats Creamy MCT Unflavored MCT Oil Powder 10.5 OZ. Packaged White HDPE Plastic. UPC Code: 857826008594     Expiration dates:  11/30/2021  2/28/2022  7/31/2021,Undeclared milk allergen
Stuart,FL,United States,Food,89664,"Edible Spirits, Inc",6058 Se Federal Hwy,Banana Coconut Rum Cake,"Failure to declare product ingredients including allergens (eggs, wheat, milk, tree nuts)."
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,Greater Her Resilient Capsules 30ct Bottle NO UPC CODE,During an FDA investigation the firm was notified that the product contains undeclared milk.
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Presidents Choice 12 oz Mixed Greens / Le Choix du President Melange de Legumes-Feuilles  UPC: 0-60383-00188-9  SKU 3236,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Chopped Pomegranate"" (salad product) packed in 10.3oz. packages",potential to be contaminated with Listeria monocytogenes
Stuart,FL,United States,Food,89664,"Edible Spirits, Inc",6058 Se Federal Hwy,Pineapple Rum Cake,"Failure to declare product ingredients including allergens (eggs, wheat, milk)."
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Organic Lettuce Blend"" (salad product) packed in 16oz. packages",potential to be contaminated with Listeria monocytogenes
Washington,DC,United States,Food,89359,SWAP FOODS LLC,1369 New York Ave Ne,"Everything Swapples, Net Wt. 11.14 OZ, UPC 8 64390 00021 3",Product contained an ingredient that may be contaminated with small pieces of plastic.
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Presidents Choice 12.25oz Ranch Kit / Le Choix du President Ranch Kit de Salade  UPC: 0-60383-00493-4  SKU: 3614,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Green Bay,WI,United States,Food,89775,Schreiber Foods Inc,400 N Washington St,"Shredded Cheese consisting of Monterey Jack, Queso Quesadilla, and Asadero cheeses, Net Wt 2lbs, packaged in plastic pouches, 12 pouches per case.",Potential to contain foreign material (metal).
Monterey,CA,United States,Food,89284,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Dole 11oz Greener Selection  Product UPC 071430009659,Potential Listeria monocytogenes
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Pear Gorgonzola"" (salad product) packed in 6.7oz. packages",potential to be contaminated with Listeria monocytogenes
Felda,FL,United States,Food,89467,ARILLIS CORP,14170 S Sr 29,"Tortillas Arillis, Arillis Corp, Contains: 10 (ten) tortillas",Undeclared allergen: Wheat
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Marketside 24oz Classic Salad  UPC:6-81131-32895-1  SKU: 3193,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Chopped Bacon Ranch"" (salad product) packed in 12.8oz. packages",potential to be contaminated with Listeria monocytogenes
Fargo,ND,United States,Food,89716,"Swanson Health Products, Inc",4075 40th Ave S,"Swanson Ultra: Vitamin B12 Methylcobalamin  High Absorption 60 serving per container, Item Code SWU122, UPC 87614-02122.  Distributed by Swanson Health Products Fargo, ND  58104.   60 cc green PETE plastic bottle with black 33 induction seal cap",Dietary supplement may contain potential metal shavings greater than or equal to 7mm in length.
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,First Finisher/Ouro Vitae Mito Male Cherry Limeade 16oz Jar	NO UPC CODE,During an FDA investigation the firm was notified that the product contains undeclared milk.
Monterey,CA,United States,Food,89284,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Dole 8oz Shredded Lettuce  Product UPC 071430010655  Lidl 8oz Shred Lettuce  Product UPC 4056489151272  Little Salad Bar 8oz Shredded Lettuce  Product UPC 4099100087963  Dole 8 oz Shredded Lettuce  Product UPC 0-71430-01065-5  Marketside 8 oz Shredded Lettuce  Product UPC 6-81131-32896-8  Kroger 8oz Shredded Lettuce  Product UPC 0-11110-91613-6,Potential Listeria monocytogenes
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Shredded Lettuce"" (salad product) packed in 8oz., 14oz., 16oz., and 5lb. packages",potential to be contaminated with Listeria monocytogenes
Mc Donald,TN,United States,Food,89363,Bake Crafters,10673 Lee Hwy,Bake Crafters - Maple Waffle WG Chicken Sausage  Packaged into cardboard containers 126 units per case,Potential Listeria monocytogenes contamination
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,BlakeFit Everyday Gold	Raspberry Lemonade Sample NO BARCODE,During an FDA investigation the firm was notified that the product contains undeclared milk.
Commerce,CA,United States,Food,89668,GOLDEN MEDAL MUSHROOM INC,2770 Vail Ave,"Enoki Mushrooms, brand Xuerong, net wt. 150 g/ 5.25200g/7.05-ounce packages, UPC 6953150110157.  34 0er carton.",Listeria monocytogenes
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,HEB 9.5oz Premium Ranch Kit  UPC: 0-41220791569-0  SKU: 3349,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Los Angeles,CA,United States,Food,89266,DREAM POPS,1880 Century Park E Ste 200,100% Plant-Based Dream Pops Vanilla Sky Bites UPC 854097008254,Undeclared allergen; milk
Abbott Park,IL,United States,Food,89629,Abbott Laboratories,100 Abbott Park Rd Bldg Ap8b,Abbott Similac for Supplementation 22oz. plastic jar.  4 jars per case.    Item numbers:  63013    Retail UPCs:   070074629506  70074629506,Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced
Dallas,TX,United States,Food,89583,Ponder Foods LLC,11035 Switzer Ave,Pretty Thai Sweet Chili Stir Fry & Barbecue Sauce NET WT. 11.2 oz (317g) UPC 860043001224  packaged in a cylindrical clear PET plastic bottle,Potential to contain undeclared peanuts
Milton Freewater,OR,United States,Food,89445,Walla Walla Cheese Company LLC,606 N Main St,Walla Walla Cheese Company Cheddar Curds. Keep Refrigerated.  Product is packaged in vacuum sealed zip lock bags. Net wt. 5 lbs.,Under pasteurization. Cheese product was made from one batch of milk that was under pasteurized.
Vista,CA,United States,Food,89741,"RMJV, LP dba Fresh Creative Foods",3285 Corporate Vw,"Fresh Creative Foods LEMON CAPELLINI SALAD 2/4.5 LB Perishable/Keep refrigerated. UPC: 10013454373672 Item number: 403207 Distributed by: Fresh Creative Foods, Vista, CA 92081",During manufacturing pieces of hard clear plastic was found. Upon investigation the source was identified as ice purchased from supplier.
San Diego,CA,United States,Food,89532,"El Super Leon Ponchin Snacks, Inc.",2545 Britannia Blvd,"El Super Leon brand, Dry Salted Plum with Chili, Shelf Stable, packaged in plastic bag, Net Wt 1.05oz, UPC 8-52605-00408. With 12 packs of 12 units per case, for a total of 144 units per case.  El Leoncito brand, Dry Salted Plum with Chili, Shelf Stable, packaged in plastic bag, Net Wt 1.05oz, UPC 8-52605-00024.   The label is read in parts: ""Manufactured by:  El Super Leon Ponchin Snacks, Inc. 2545 Britannia Blvd. San Diego, CA 92154***PRODUCT OF CHINA***"".",Potential to be contaminated with lead.
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Twisted Avocado Caesar"" (salad product) packed in 9.7oz. packages",potential to be contaminated with Listeria monocytogenes
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Little Salad Bar 8 oz Shredded Lettuce  UPC: 4099100087963  SKU: 3404,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Clare,MI,United States,Food,89424,Natural Way Cheese,6060 E Beaverton Rd,"Natural Way Cheese Hickory Smoke Flavor Cheese Curds, retail 12oz plastic bag UPC 8 10056 75017 6, 12 retail units per wholesale case","The milk used in the cheese curd had been stored in a holding tank in excess of 72 hours, therefore exceeding the required 72 hour tank cleaning interval."
Leavenworth,WA,United States,Food,89251,"Bosket Bread Company, LLC",10171 Chumstick Hwy,"Cinnamon Bread, Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.","Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements."
Abbott Park,IL,United States,Food,89629,Abbott Laboratories,100 Abbott Park Rd Bldg Ap8b,Abbott Similac Pro-Advance 23oz. and 34oz. plastic jar. 6 jars per case.     Item numbers:  6720413  6721313    Retail UPCs:   055325002567  055325002581,Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Spinach & Arugula"" (salad product) packed in 5oz. packages",potential to be contaminated with Listeria monocytogenes
Abbott Park,IL,United States,Food,89629,Abbott Laboratories,100 Abbott Park Rd Bldg Ap8b,Abbott Similac For Spit Up Infant Formula with Iron 22.5oz plastic jar.  6 jars per case.    Item numbers:  5372976    Retail UPCs:   070074537306,Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,Rare Planet Health Rise Multivitamin Capsules 60ct Bottle UPC CODE,During an FDA investigation the firm was notified that the product contains undeclared shellfish.
Jamaica,NY,United States,Food,89258,"D & M Smoked Fish, Inc.",9415 150th St,"""Haifa Smoked Fish and Caviar*** Turbot Cold Smoked***Net Wt 8 0z.""",May be contaminated with Listeria monocytogenes
Abbott Park,IL,United States,Food,89629,Abbott Laboratories,100 Abbott Park Rd Bldg Ap8b,"Abbott Similac Human Milk Fortifier 0.9g Pouch / Sachet, 50 Pouch / Sachet per retail unit. 3 retail units per case    Item numbers:  54598  5459813  5459814  5459820  5459886  6771009    Retail UPCs:   70074545998  070074545998  055325545996  070074109404  070074103297  070074671833",Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced
Los Angeles,CA,United States,Food,89266,DREAM POPS,1880 Century Park E Ste 200,100% Plant-Based Dream Pops Berry Dreams Bites UPC 854097008247,Undeclared allergen; milk
Monterey,CA,United States,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Presidents Choice 12.25 oz  Ranch Kit / Le Choix du President Ranch Kit de Salade  UPC: 0-60383-00493-4  SKU 3614,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.
Fresno,CA,United States,Food,89590,Candies Tolteca,2272 S East Ave,"Tolteca Saladitos con Chile Limon, Dried Plums with Chili & Lemon; Net Wt. .15 oz. (42.5g) packaged in a clear cellophane bag approximately (4 x 8).  Green TOLTECA brand label and identified with UPC Code 704927600700.   Packed by Candies Toletca P.O. Box 4055, Fresno, CA 93744",Firm distributed Dried Salted Plum (Saladitos) that may contain high lead levels.
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Slivered Onions"" (salad product) packed in 1lb. packages",potential to be contaminated with Listeria monocytogenes
Monterey,CA,United States,Food,89284,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Dole 9.8oz Chopped Teriyaki Pineapple Kit  Product UPC 071430001004,Potential Listeria monocytogenes
Streamwood,IL,United States,Food,89269,Fresh Express Inc (Div of Chiquita Brands),1109 E Lake St,"""Romaine Garden"" (salad product) packed in 12oz. packages",potential to be contaminated with Listeria monocytogenes
Portland,OR,United States,Food,89763,HumbleHungryHappy LLC,3271 Nw 29th Ave,"Overnight Oats, net wt. 9.4 oz. It is packaged in flexible plastic bowl with film lid.    Product label is read in parts: ""***OVERNIGHT OATS***Ingredients: 1% Greek Yogurt ***Coconut Milk, Orgain Organic Protein, Rolled Oats, Almond, Milk, Honey, Flaxseeds, Coconut***Contains: Milk***Made in a kitchen that uses eggs, fish, milk, peanut, shellfish, soy, tree nuts.  Produced at My Fit Foods 3271 NW 29th Ave. Portland, OR 97210***"".",Undeclared Almond and Coconut in the Contains statement.
Abbott Park,IL,United States,Food,89629,Abbott Laboratories,100 Abbott Park Rd Bldg Ap8b,Abbott Similac For Spit Up Infant Formula with Iron 7oz. can and 19.5oz. plastic jar. 6 units per case.    Item numbers:  67927  68086    Retail UPCs:   070074679280  070074680873,Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced
Monterey,CA,United States,Food,89284,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Dole 10oz Angel Hair Coleslaw  Product UPC 071430009741  Marketside 10oz Angel Hair Coleslaw  Product UPC 681131387491,Potential Listeria monocytogenes
Monterey,CA,United States,Food,89284,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Dole 14oz Southern Slaw  Product UPC 071430010365,Potential Listeria monocytogenes
Roseburg,OR,United States,Food,89271,Local Fixe LLC,2141 Ne Airport Rd Ste 2,"Dinner Rolls are shaped in rounds and sold frozen.  Packaged in clear plastic Ziploc style plastic bags. The weight per package s 1.323 lbs/600 grams.   The label is read in parts: ""***Dinner rolls ***Flour, sourdough starter, water, egg, sugar, salt, grape seed oil, active dry yeast ***www.localfixe.com***"".",Flour is declared but Wheat is not declared on label.
Battleboro,NC,United States,Food,89319,Poppies International INC,6610 Corporation Pkwy,"Delizza BELGIAN MINI CHOCOLATE CREAM PUFFS NET WT. 14.1 oz (400g) 30 CREAM PUFFS PRODUCED IN THE US BY DELIZZA INCORPORATED 6610 CORPORATION PARKWAY, BATTLEBORO, NC 27809 UPC  6 76670 00402 2",The firm found small pieces of metal in the bakery palm oil silo which were not able to be detected every pass through the metal detector.
Monterey,CA,United States,Food,89284,Dole Fresh Vegetables Inc,2959 Salinas Hwy,Dole 10oz Very Veggie  Product UPC 071430010082  Kroger 12oz Veggie Blend  Product UPC 011110910486,Potential Listeria monocytogenes
Norcross,GA,United States,Food,89000,NutraCap Labs LLC,6080 Mcdonough Dr Ste A/B/C/D/F/G,Soul Nutrition Anxiety unlabeled Capsules 90ct Bottle UPC CODE,During an FDA investigation the firm was notified that the product contains undeclared milk.
